epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6226,0.73582,2.80014,1.08728,0.00778,1,0.27804,0.18226,0.47862,2.92608,0.93521,4e-05,4e-05,4e-05
2,23.6169,0.6594,2.71711,0.9729,0.00778,1,0.36859,0.29943,0.4022,2.85011,0.87122,9.9802e-05,9.9802e-05,9.9802e-05
3,35.8726,0.5403,2.24029,0.92353,0.00778,1,0.6615,0.58815,0.42626,2.66783,0.81877,0.000159366,0.000159366,0.000159366
4,48.4795,0.59483,1.58544,0.9094,1,0.24785,0.96085,0.85863,0.44825,2.35213,0.80255,0.000218693,0.000218693,0.000218693
5,60.9328,0.60484,1.26419,1.00319,0.9792,0.80952,0.97776,0.82399,0.52794,2.05112,0.81104,0.000277782,0.000277782,0.000277782
6,74.3175,0.58385,1.07504,0.92856,0.86941,0.80952,0.91762,0.80908,0.48909,2.0336,0.80483,0.000336634,0.000336634,0.000336634
7,87.1259,0.53143,0.98464,0.87654,0.83211,0.71429,0.85571,0.72528,0.51987,2.04582,0.8045,0.000395248,0.000395248,0.000395248
8,99.521,0.56388,0.90755,0.86265,0.833,0.47514,0.8461,0.73237,0.50683,2.11665,0.80762,0.000453624,0.000453624,0.000453624
9,112.393,0.54879,0.89955,0.90226,0.79597,0.52381,0.87905,0.75892,0.52132,2.08557,0.83177,0.000511763,0.000511763,0.000511763
10,125.042,0.62456,0.99418,0.99598,0.79301,0.73029,0.89365,0.76523,0.52717,1.98289,0.84648,0.000569664,0.000569664,0.000569664
11,137.885,0.51151,0.86373,0.90135,0.83856,0.80952,0.90197,0.77756,0.50925,1.77342,0.8421,0.000627328,0.000627328,0.000627328
12,149.782,0.53739,0.81062,0.89511,0.89432,0.80616,0.91008,0.76847,0.52194,1.757,0.85049,0.000684754,0.000684754,0.000684754
13,162.278,0.5749,0.81346,0.89422,0.74852,0.90476,0.93393,0.78979,0.59324,1.78612,0.85421,0.000741942,0.000741942,0.000741942
14,174.629,0.63423,0.80149,0.87327,0.71356,0.90476,0.85266,0.72351,0.58842,1.77936,0.84118,0.000798893,0.000798893,0.000798893
15,186.95,0.54721,0.79987,0.91297,0.49134,0.73635,0.66639,0.55934,0.62505,1.91945,0.88941,0.000855606,0.000855606,0.000855606
16,199.357,0.56759,0.84968,0.93676,0.53148,0.66667,0.66918,0.57557,0.60674,1.80614,0.87354,0.000912082,0.000912082,0.000912082
17,212.179,0.59805,0.78806,0.86574,0.94947,0.57143,0.8102,0.68534,0.60582,1.75339,0.87157,0.00096832,0.00096832,0.00096832
18,224.238,0.56287,0.85791,0.9426,0.64639,0.69687,0.76865,0.61421,0.62826,1.86297,0.88322,0.00102432,0.00102432,0.00102432
19,236.069,0.60964,0.75419,0.89422,0.71618,0.85714,0.85455,0.68067,0.55706,1.78597,0.86217,0.00108008,0.00108008,0.00108008
20,247.726,0.5189,0.74403,0.91781,0.65697,0.66667,0.83304,0.69854,0.55143,1.69399,0.85287,0.00113561,0.00113561,0.00113561
21,259.494,0.52384,0.78817,0.89479,0.68023,0.60825,0.75379,0.64133,0.54044,1.71217,0.86893,0.0011909,0.0011909,0.0011909
22,271.349,0.57327,0.77253,0.99787,0.75117,0.71896,0.85519,0.75441,0.55904,1.50052,0.90141,0.00124595,0.00124595,0.00124595
23,283.015,0.57039,0.78467,0.911,0.87704,0.71429,0.91837,0.78875,0.56224,1.39577,0.89572,0.00130076,0.00130076,0.00130076
24,294.662,0.55339,0.73496,0.95311,0.93697,0.95238,0.98676,0.8407,0.55689,1.3137,0.88159,0.00135533,0.00135533,0.00135533
25,306.543,0.49968,0.69748,0.91851,0.94307,0.95238,0.98247,0.73993,0.61854,1.32803,0.94726,0.00140967,0.00140967,0.00140967
