epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,930.614,0.51687,0.55624,0.87726,0.87713,0.99163,0.97966,0.85611,0.52033,0.74793,0.86958,0.00191684,0.00191684,0.00191684
44,952.14,0.5463,0.57107,0.90142,0.91757,0.92779,0.9785,0.87405,0.48143,0.84355,0.86635,0.00191486,0.00191486,0.00191486
45,973.165,0.53058,0.55473,0.8959,0.90777,0.97222,0.96301,0.84717,0.4814,0.84821,0.87879,0.00191288,0.00191288,0.00191288
46,994.346,0.53708,0.56237,0.9155,0.89093,0.97222,0.96443,0.8262,0.52213,0.77477,0.90062,0.0019109,0.0019109,0.0019109
47,1015.21,0.51888,0.5584,0.89898,0.90865,0.97222,0.93211,0.80831,0.51185,0.72348,0.88703,0.00190892,0.00190892,0.00190892
48,1036.66,0.50486,0.52741,0.86634,0.94531,0.96037,0.94032,0.81776,0.54803,0.65093,0.8906,0.00190694,0.00190694,0.00190694
49,1057.66,0.54849,0.53535,0.90567,0.93783,0.94444,0.95671,0.84139,0.50191,0.59224,0.86357,0.00190496,0.00190496,0.00190496
50,1079.19,0.54085,0.56306,0.91887,0.88053,0.97222,0.9593,0.85354,0.48392,0.69562,0.8514,0.00190298,0.00190298,0.00190298
51,1100.95,0.54848,0.55656,0.90333,0.88731,0.87509,0.95065,0.83401,0.48525,0.76828,0.84031,0.001901,0.001901,0.001901
52,1122.33,0.54227,0.53123,0.8874,0.89224,0.94444,0.96568,0.87977,0.46781,0.70899,0.84215,0.00189902,0.00189902,0.00189902
53,1143.89,0.47251,0.48735,0.8747,0.91623,0.97222,0.95643,0.86016,0.50402,0.61401,0.85558,0.00189704,0.00189704,0.00189704
54,1165.05,0.56044,0.5355,0.92647,0.92018,1,0.95746,0.87118,0.48378,0.59241,0.85071,0.00189506,0.00189506,0.00189506
55,1186.3,0.49263,0.51967,0.89907,0.93438,1,0.9718,0.88961,0.45575,0.59447,0.85461,0.00189308,0.00189308,0.00189308
56,1207.87,0.51828,0.50423,0.91274,0.92304,0.99951,0.98707,0.90746,0.44917,0.62533,0.84183,0.0018911,0.0018911,0.0018911
57,1229.76,0.49731,0.53646,0.88956,0.94736,0.9999,0.98923,0.8949,0.46972,0.57681,0.85155,0.00188912,0.00188912,0.00188912
58,1251.31,0.4527,0.48208,0.86128,0.94048,1,0.98923,0.89325,0.47622,0.51362,0.85382,0.00188714,0.00188714,0.00188714
59,1272.76,0.47674,0.47378,0.88087,0.92243,0.99118,0.98102,0.89244,0.43078,0.52357,0.84087,0.00188516,0.00188516,0.00188516
60,1294.25,0.43553,0.47085,0.86074,0.89662,1,0.97666,0.89533,0.41291,0.51476,0.8371,0.00188318,0.00188318,0.00188318
61,1315.42,0.44501,0.45919,0.88775,0.91245,1,0.98721,0.91461,0.42145,0.47343,0.83655,0.0018812,0.0018812,0.0018812
62,1336.75,0.47965,0.46881,0.92303,0.94724,0.99743,0.98923,0.88965,0.43132,0.49844,0.8402,0.00187922,0.00187922,0.00187922
63,1358.05,0.46604,0.47285,0.89586,0.96789,1,0.99068,0.92711,0.4017,0.49324,0.82622,0.00187724,0.00187724,0.00187724
64,1380.01,0.465,0.46875,0.92486,0.96833,1,0.99203,0.90128,0.42541,0.46658,0.82888,0.00187526,0.00187526,0.00187526
65,1402.03,0.47267,0.47729,0.90028,0.9723,1,0.99068,0.90089,0.42799,0.49515,0.84144,0.00187328,0.00187328,0.00187328
66,1423.58,0.45783,0.45583,0.90166,0.96988,1,0.98986,0.87863,0.43638,0.52077,0.84833,0.0018713,0.0018713,0.0018713
67,1446.55,0.48899,0.46452,0.89958,0.96988,1,0.99068,0.90974,0.39046,0.4952,0.82582,0.00186932,0.00186932,0.00186932
68,1468.39,0.42891,0.42884,0.85977,0.97279,0.99338,0.99446,0.91422,0.42146,0.46069,0.82675,0.00186734,0.00186734,0.00186734
69,1490.44,0.46741,0.41624,0.88554,0.96795,1,0.99446,0.91975,0.40309,0.47261,0.81999,0.00186536,0.00186536,0.00186536
70,1512.01,0.46006,0.44952,0.90336,0.94418,1,0.99237,0.91378,0.43322,0.46482,0.83035,0.00186338,0.00186338,0.00186338
71,1533.77,0.4901,0.4643,0.8763,0.94498,1,0.98921,0.90409,0.42477,0.46407,0.83338,0.0018614,0.0018614,0.0018614
72,1556.43,0.47697,0.46974,0.89386,0.94553,1,0.98921,0.91245,0.39187,0.42579,0.82231,0.00185942,0.00185942,0.00185942
